"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 25 16:09:55 EDT 2021","Thu Mar 25 16:09:57 EDT 2021","2148","Surefire suite","Surefire test","Tests.LoginPTest","Tests.LoginPTest","userCanLogin","User is able to login:",""
"passed","Thu Mar 25 15:58:47 EDT 2021","Thu Mar 25 15:58:49 EDT 2021","1627","Default Suite","TestNG_Rep1","Tests.invalidLogin","Tests.invalidLogin","invalidTest","User should not be able to sign in",""
